"subject_session","gender","age","ageGroup","BAT_all_dprime","BAT_fast_dprime","BAT_med_dprime","BAT_slow_dprime","DurDisc_threshold","Anisochrony_tones_threshold","Anisochrony_music_threshold","Unpaced_spontaneous_right_CV_iti","Unpaced_spontaneous_right_mean_iti","Paced_metro_450_mean_CV_iti","Paced_metro_450_vecDirPct","Paced_metro_450_vecLenLogit","Paced_metro_600_mean_CV_iti","Paced_metro_600_vecDirPct","Paced_metro_600_vecLenLogit","Paced_metro_750_mean_CV_iti","Paced_metro_750_vecDirPct","Paced_metro_750_vecLenLogit","Paced_music_badine_mean_CV_iti","Paced_music_badine_vecDirPct","Paced_music_badine_vecLenLogit","Paced_music_ross_mean_CV_iti","Paced_music_ross_vecDirPct","Paced_music_ross_vecLenLogit"
"A30_POST","F",19,"Age_18_21",3.68878817743353,2.64235021598702,3.48272877835648,3.48272877835648,12.967586517334,8.44007492065432,7.80509948730469,0.0635304874766893,450.546875,0.0545761156078183,-15.4391951100883,2.47125816331856,0.0524513115790822,-10.4428343984181,2.50142011726871,0.0529566260394741,-7.17386265693514,2.54158839392739,0.0552998920441765,1.42851464160879,3.37518253533355,0.0441077307025175,0.483284084815308,3.52947586548272
"A31_POST","F",25,"Age_22_29",1.7418298558115,0.77242672969067,1.44523170829721,1.59321881802305,43.39599609375,14.3865966796875,14.0528869628906,0.0706193041394328,471.976051401869,0.0725415690816889,-8.6088336035387,2.06181464595376,0.0589809085611855,-1.32139714354809,2.70274611601952,0.0653035773758238,-1.13335117402103,2.63361015123991,0.0627456262290488,3.15845884564583,0.829471192416701,0.0656169174882141,3.91409620058733,1.00095790041721
"A32_POST","F",21,"Age_18_21",3.23412305882065,2.17172610739594,2.85693152643513,3.48272877835648,7.90786743164062,6.94011926651001,8.16970825195312,0.0417285520189744,418.59228515625,0.035822360511163,-5.16821069408631,3.57920141672586,0.0438339873800141,0.386547497640608,3.77963825286311,0.0525790417400496,0.692178817166469,3.42614004437811,0.0561685868946702,NA,0.308209554021878,NA,NA,NA
"A33_POST","M",24,"Age_22_29",0.849417374976244,0.888762708315445,0.441468688123939,1.04730772886227,10.451602935791,10.8108043670654,10.7523617148399,NA,NA,0.107050736836706,-11.1921254734786,1.1466928870129,0.0799936071312652,-8.74722100891142,2.52958449899299,0.0916650393621078,-14.8084135740024,2.02624957566403,0.0834915283855874,NA,-0.857776426631507,0.0862308850742345,-10.2157784568977,-0.230238150774906
"A34_POST","F",21,"Age_18_21",2.71226886118016,2.05107074903555,2.22212303565524,2.41401090635543,47.1450805664062,9.28825378417965,9.50042724609375,0.0549823129228324,580.737926136364,0.0572465082940641,-2.58587722061908,3.42924927525367,0.0382048516791047,0.207339173106154,3.70514385322015,0.0441349538056993,-0.405827371540106,3.6336793820969,0.0497488294939228,5.80579412018617,3.41072792231459,0.0415266377402321,0.902147122816303,3.44150128756156
"A35_POST","M",22,"Age_22_29",1.02895636264129,0.299306910465667,1.59632578373389,1.35170223993066,21.8994140625,7.58880615234375,NA,0.0485397727827132,927.835336538462,0.0554005195786256,-13.5349601832522,2.44467940967205,0.0550650630135135,-15.4317516467627,2.53422973552246,0.060697771791289,-8.46322034681128,2.72878878832783,0.074195530562762,NA,-3.28494637196824,0.0854895454135581,NA,-0.802466091807807
"A36_POST","M",22,"Age_22_29",2.61108067272333,2.01655296406567,2.01655296406567,3.48272877835648,16.4794921875,6.95923805236817,11.0597991943359,0.0492643234878645,543.541208791209,0.0652620913123782,-5.30207341412203,2.02785924959201,0.0513965522219683,-1.34287398567911,3.32946501486006,0.0590872298337083,-2.94717082688714,2.7936971102379,0.0848888363215802,NA,-1.23894297931299,0.0896492042835556,NA,-0.0988993481246771
"A37_POST","M",19,"Age_18_21",3.15342229641185,2.31912380603236,3.48272877835648,2.85693152643513,17.4758415785618,4.349853515625,3.4375,0.0327234479690548,627.399390243902,0.0402431853367219,-14.7127481520795,2.57387374230543,0.0416382274786224,-6.22186013841044,3.71976467859765,0.051166674209893,-11.9327326670215,2.96388481849443,0.041962799302746,0.944509099438595,3.10732224580183,0.0489330854974366,-16.5270332530342,2.39053533120473
"A38_POST","F",18,"Age_18_21",3.92561964149907,2.94492105795371,3.48272877835648,3.48272877835648,36.6943359375,15.5978393554688,4.85321044921875,0.0487709121537305,505.319047619048,0.0494513804722629,-7.36566982005211,3.08792924258957,0.0455007457697672,-6.90489770674692,2.93188694797603,0.0443336801054371,-2.71456511184596,3.02539377161647,0.0307910475027617,3.29317633415228,3.77831741162657,0.0331305023724737,1.04112467502347,3.78807642806189
"A39_POST","F",22,"Age_22_29",2.74678535823012,2.85693152643513,2.64235021598702,2.31912380603236,18.2785034179688,11.1267471313477,NA,0.0512084914061789,578.78591954023,0.0716320731211051,-7.22480363509328,2.42337515945593,0.0618200481418896,-5.37014186023736,2.75956214416677,0.0777990828526783,-6.40899574101825,2.30271318209264,0.0461317393929805,1.0231252116665,3.53449544296116,0.0508415587936796,-1.9186612760492,3.30850784884107
"A41_POST","F",19,"Age_18_21",1.61649560718076,1.41024788618216,1.11540867582754,2.22212303565524,33.1787109375,10.243034362793,8.14704895019531,0.0534134829213326,805.260775862069,0.0579957744047281,-2.35592914409238,2.90066416648965,0.0502308605303416,-1.32938459099713,3.47872090120635,0.0612639936888022,-2.27940356778846,2.22054737727655,0.0706689958123486,12.6159791402377,0.156754587309408,0.07706884158229,9.66617900328286,0.974038055234231
"A42_POST","M",30,"Age_30_54",3.02000738728238,2.64235021598702,2.85693152643513,2.94492105795371,61.60888671875,NA,19.97314453125,0.0553221657425298,517.43443627451,0.0504034951737859,-12.085512904138,2.68310995506217,0.0538448872186931,-6.79273033765656,2.68795963557571,0.0548900448269882,-2.84752973980292,3.06458944028837,0.0646879911786657,-1.73712871870891,2.36539634573622,0.0599406189612884,-16.6604717359392,0.885478066940089
"A43_POST","F",19,"Age_18_21",2.24489419502155,1.33134754502648,2.31912380603236,2.94492105795371,35.5682373046875,12.2916412353516,8.89068603515625,0.0531631366054942,771.661885245902,0.0744099498235108,-8.49946759829408,2.43957705200339,0.0579290600361182,-3.51714806647389,2.79981599442813,0.0751201899991946,-4.77972003751783,2.18726454337719,0.0677827109836857,4.74677748456547,2.86151001487911,0.0681038847369401,-2.53817721735568,1.17405366351519
"A44_POST","F",23,"Age_22_29",3.92561964149907,3.48272877835648,3.48272877835648,2.94492105795371,14.1311645507812,18.5765075683594,21.1308932304382,0.0456139627766865,629.897590361446,0.0471912705046055,-8.49315962657639,2.79456124916427,0.0345293314975391,-7.56841292047981,3.83153278468887,0.0339226317090307,-6.96546395546822,3.66893224609237,0.0385448843634313,3.53972385550506,3.66481282534107,0.0320301478854627,-9.04548440312331,2.42572777697661
"A45_POST","F",22,"Age_22_29",2.76944931606373,1.78821365443408,2.94492105795371,2.94492105795371,27.8663635253906,7.02644348144531,13.7191772460938,0.0511003758264677,512.81755050505,0.0792844479270635,-2.91999282181383,1.87641539285406,0.0592559756409573,-9.00799896859722,1.96521418769542,0.0585668004332753,-2.07459008604478,2.31631830107937,0.0462866330231539,5.79688366512867,3.53640903285944,0.106439524434866,2.49592695748653,1.86437424950575
