subject_session,0,1,2,3,4
C09,-0.6970214470583709,0.18978941379970815,-0.09925445249149206,0.4034723575926543,0.26489665686950925
C11,0.9161755339339885,-1.1279758748799584,0.5438352926334664,-0.767911219368892,0.46901228166807485
D01,0.9816092146939774,0.6538161693147937,0.06736839648978726,1.363871053796453,1.3547322223587095
D02,0.8399443938403133,0.22811856267220731,0.3888437599519985,-0.7798560754508949,-0.42808554414617817
D03,1.469744410876086,-0.4651959905760803,-0.923520069788727,0.0029847459112753993,-0.14742537108974751
D06,-0.7078738551645977,1.8807183508949163,0.14557102875140004,0.07827782720300172,-0.9734337910828419
D07,0.29912558504534925,-0.8080797990627009,-0.6185809504163029,-0.3367602000926971,0.29539741271302
D08,0.9816415461452175,-0.8407927981273119,-1.45810194283,-0.7784059145010136,-0.03896319292776962
D11,-0.7672866707523771,-0.7901825961294855,2.13909162463262,-0.3902566939285399,-0.8580051809957681
D12,2.029582055174733,0.18761281505216054,-0.5329150094269325,-0.2445892041055031,-0.3701390093162793
D16,-0.8746769378711692,-0.5043899713063271,-0.25806816148602835,-0.5415116311087983,-1.0085572733760753
E01,-0.8882194386535633,0.8105657188757878,3.36302255981478,0.665758835226408,-0.8699329689716055
E02,0.20664388926796956,-0.48180149163465513,-0.8053012527429221,0.3694279732399791,-1.049054027920266
E03,-0.9884525769673456,-0.4681080391838648,-0.8938147978078972,-0.18704201333610848,-0.35010190901904537
E05,0.6291260728276462,-0.7603325956935065,-1.1512138832033623,0.8818185431352543,0.9865639310662262
E11,-0.11996685663182305,-0.13217683799481783,0.5611985516430155,0.5056669629148145,-1.2731999462748487
E12,-0.3120592345984001,-0.22090112672271395,0.016467869071256608,1.3137016013531362,0.6637324955701067
E13,0.529193715875182,-0.6569626735553719,0.7114143214880931,0.23223873691801852,-1.4916247185466176
E14,-0.46153124779748833,2.176065181118113,0.12304577927949062,-0.8695732272608783,-1.422827854068833
E15,0.3367244123428337,0.09099949464801149,0.5228160269457606,0.21828510342220728,-0.8186927125326511
F01,0.4967136209546976,-0.7716158588073527,0.3870339780711224,-0.43710490896596915,-1.0441579350976817
F02,0.9106770900368346,2.1513598574035653,-2.0305999618810917,-0.515033278265733,-0.7836373253245288
F03,-0.1521853011805765,-0.7450598513302928,0.6728647238798405,-0.541989408360352,-0.7807063587485192
F06,-0.792474534417484,-0.0016940264484626155,-0.9760223038301123,0.6298356916086767,-0.1335455575954292
F07,0.03642525589129114,-0.19545987540280613,-0.39783557577008005,0.18986957964040277,-0.5702928720020273
F08,-0.788878267692104,-0.5191367982407891,-0.7528963330564328,0.06437558497361306,-0.04967805484651322
F11,-0.15935037422394005,1.756885885190093,-0.7397706296155393,-0.26840159742789205,-0.38516177597156576
F12,2.9797188935452867,-1.1161946704576304,0.041477824535823826,1.124273787106889,0.015013851547726276
F13,2.19188831397837,-0.9123280286192137,-0.7558475091987127,-0.18036513320752867,-0.932127724698149
FORMER_E01,0.9137061859642319,-0.5276888492004104,-0.460222853475293,-0.9338606640399996,-0.23967894328044248
